diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
29,0.0319819999999999,-0.035888,-0.0003290049999999,0.039673,-0.0415039999999999,0.00207032,0.0874029999999999,-0.07959,0.0008605949999999,2.01416,-2.1362300000000003,0.0402831949999999,4.5166010000000005,-2.868653,0.1190186,2.136231,-3.66211,-0.2160645099999999,riding
30,0.0319819999999999,-0.0335699999999999,-0.0003009149999999,0.130737,-0.070312,0.0053472949999999,0.081177,-0.07959,0.00069947,3.967286,-3.601075,-0.065612795,4.5166010000000005,-4.272462,-0.1470947999999999,9.338382,-3.66211,0.655212485,riding
31,0.0291749999999999,-0.025878,-0.00030393,0.130737,-0.08606,0.005288705,0.057983,-0.0714109999999999,0.000371085,3.967286,-16.357426,-0.04364016,2.929688,-4.272462,0.1431274999999999,9.338382,-7.690431999999999,-0.47210697,riding
32,0.0177,-0.025878,0.0001495199999999,0.130737,-0.08606,-0.0018145749999999,0.057983,-0.041748,-2.805499999999961e-05,15.258793,-16.357426,0.01464841,2.929688,-4.272462,0.04516597,9.338382,-7.690431999999999,-0.2221679899999998,riding
33,0.0177,-0.025878,-0.0004858049999999,0.130737,-0.08606,0.0005780099999999,0.057983,-0.041748,0.00115843,15.258793,-16.357426,-0.0048828099999999,2.746583,-4.272462,-0.017394985,9.338382,-7.690431999999999,0.1150513149999999,riding
34,0.0234379999999999,-0.02356,0.0006146199999999,0.095948,-0.08606,-0.0057629399999999,0.050537,-0.0552979999999999,-0.00114988,15.258793,-16.357426,0.03723145,2.746583,-2.563477,0.27923587,4.638674,-7.690431999999999,-0.69885264,riding
35,0.0234379999999999,-0.018432,0.00040096,0.0527339999999999,-0.068238,-0.0064721799999999,0.0477299999999999,-0.0552979999999999,-0.000474245,15.258793,-2.380371,0.08239748,2.624513,-2.563477,-0.189514175,4.638674,-4.577638,0.5148316,riding
36,0.0234379999999999,-0.018432,-3.110999999999808e-05,0.0527339999999999,-0.054809,0.0010791,0.0477299999999999,-0.0552979999999999,-0.000287495,2.075196,-1.892091,0.0085449399999999,2.624513,-2.563477,0.0039672849999999,3.662109,-4.577638,0.0354004199999999,riding
37,0.0234379999999999,-0.012573,0.0010327149999999,0.03772,-0.054199,-0.0030529949999999,0.036133,-0.0552979999999999,-0.0024676299999999,1.342774,-1.892091,-0.02624514,2.075196,-2.563477,-0.2182007799999999,3.173829,-3.0517580000000004,0.131835955,riding
38,0.014892,-0.012573,-0.00029844,0.030395,-0.0241699999999999,-0.001116345,0.031738,-0.0401619999999999,0.00103575,1.220704,-1.098633,0.02014161,2.075196,-2.502442,-0.07751463,0.7934570000000001,-0.976562,-0.06042482,riding
